Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Duration_mm,Duration_ss
Raga Charu Keshi,Ravi Shankar,The Best Of Sitar,1967-01-01,815464,4,0.508,0.592,C# / Db,-13.472,Major,0.0665,0.134,0.765,0.0945,0.548,135.963,16,13,35.46
Raga Hamsadhwani - Digitally Remastered,Ravi Shankar,The Ravi Shankar Collection: In London,1967-01-01,557278,4,0.503,0.354,C# / Db,-15.589,Major,0.0409,0.748,0.046,0.0732,0.279,113.802,10,9,17.28
Raga Mishra Piloo - Remastered,Ravi Shankar,The Ravi Shankar Collection: A Morning Raga / An Evening Raga (Remastered),1967-01-01,1472120,4,0.424,0.54,C# / Db,-13.374,Minor,0.0484,0.523,0.172,0.395,0.308,133.038,11,24,32.12
Raga Puriya Dhanashri - Remastered,Ravi Shankar,The Ravi Shankar Collection: India's Master Musician,1967-01-01,682613,4,0.42,0.258,C# / Db,-22.23,Major,0.049,0.223,0.37,0.213,0.168,155.995,10,11,22.61
Raga- Manj Khamaj,Ravi Shankar,In Concert 1972,1967-01-01,3060650,4,0.488,0.583,F# / Gb,-11.502,Major,0.0523,0.54,0.479,0.949,0.592,113.112,10,51,0.65
Raga- Sindhi Bhairavi,Ravi Shankar,In Concert 1972,1967-01-01,1578048,3,0.373,0.665,F# / Gb,-11.478,Major,0.0563,0.511,0.674,0.756,0.587,149.141,4,26,18.05
Dounia,Rokia Traoré,Tchamantché,2004-01-01,380613,4,0.568,0.433,E,-12.363,Minor,0.0582,0.909,0.00286,0.126,0.617,89.019,14,6,20.61
Kele mandi,Rokia Traoré,Bowmboi,2004-01-01,249240,4,0.413,0.0836,E,-16.26,Minor,0.0427,0.95,0.00296,0.175,0.508,169.759,3,4,9.24
Laidu,Rokia Traoré,Mouneïssa,2005-01-01,386973,4,0.702,0.269,A# / Bb,-15.172,Minor,0.0365,0.626,0.0406,0.125,0.397,99.747,48,6,26.97
Crazy 'Bout an Automobile (Every Woman I Know),Ry Cooder,Borderline,1979-01-01,307000,4,0.691,0.355,D# / Eb,-19.491,Major,0.0599,0.0768,0.0,0.0643,0.794,144.489,18,5,7.00
Dark End of the Street,Ry Cooder,Boomer's Story,1976-01-01,207040,4,0.499,0.0928,G,-16.868,Major,0.0405,0.671,0.557,0.185,0.192,119.739,28,3,27.04
He'll Have to Go,Ry Cooder,Chicken Skin Music,1977-01-01,309240,4,0.413,0.291,F,-14.624,Major,0.0339,0.3,0.0,0.238,0.777,181.975,33,5,9.24
"Paris, Texas",Ry Cooder,Music by Ry Cooder,1985-01-01,174760,5,0.359,0.00681,G,-20.957,Major,0.0602,0.945,0.158,0.0581,0.205,128.713,46,2,54.76
Smack Dab in the Middle,Ry Cooder,Chicken Skin Music,1988-01-01,199893,4,0.79,0.381,A# / Bb,-14.575,Major,0.0402,0.517,2.25e-06,0.0922,0.862,124.815,24,3,19.89
Vigilante Man,Ry Cooder,Into The Purple Valley,1976-01-01,255560,4,0.578,0.0563,C,-21.523,Minor,0.0421,0.742,0.000105,0.109,0.323,75.845,24,4,15.56
Africa,Salif Keita,"""Folon"".....The Past",1987-01-01,359706,4,0.745,0.898,G,-8.882,Major,0.0448,0.275,0.0476,0.342,0.943,110.944,24,5,59.71
Laban,Salif Keita,M'Bemba,1987-01-01,448960,4,0.524,0.754,F,-7.799,Minor,0.0542,0.227,0.00133,0.0638,0.683,104.98,30,7,28.96
Namory,Salif Keita,Seydou Bathily,1990-01-01,582333,4,0.472,0.208,F,-17.332,Major,0.0454,0.734,0.0527,0.131,0.558,141.239,22,9,42.33
Sina (Soumbouya),Salif Keita,Soro,1987-01-01,289293,4,0.665,0.765,C,-14.979,Minor,0.0476,0.472,0.0379,0.123,0.801,110.69,11,4,49.29
Tekere,Salif Keita,"""Folon"".....The Past",2006-01-01,393626,4,0.784,0.887,F,-8.855,Major,0.0336,0.286,0.0438,0.495,0.949,112.977,17,6,33.63
Ani Maamin Through the Ages,Simcha Leiner,Kol Hakavod (Acapella),2005-01-01,304295,4,0.324,0.457,F# / Gb,-6.697,Major,0.0351,0.531,0.0,0.477,0.543,139.315,30,5,4.30
Kol Haolam Kulo,Simcha Leiner,Shirei Nechama Acapella Collection,2005-01-01,208593,4,0.439,0.379,C,-5.987,Minor,0.0319,0.0319,3.07e-06,0.104,0.145,127.917,25,3,28.59
Mi Shebeirach L'tzahal,Simcha Leiner,Shirei Nechama Acapella Collection,2005-01-01,175037,4,0.235,0.478,C,-5.779,Minor,0.0341,0.242,2.56e-05,0.389,0.364,133.976,28,2,55.04
Air - 2010 Remaster,The Incredible String Band,Wee Tam,1968-01-01,194733,3,0.211,0.118,C,-19.011,Major,0.0355,0.979,0.335,0.115,0.0687,113.574,26,3,14.73
Chinese White - 2010 Remaster,The Incredible String Band,The 5000 Spirits Or The Layers Of The Onion,1968-01-01,217733,4,0.376,0.217,C,-11.523,Major,0.0302,0.79,0.0,0.0967,0.17,95.427,17,3,37.73
Letter,The Incredible String Band,I Looked Up,1969-01-01,189266,4,0.556,0.69,F,-8.692,Major,0.0484,0.514,0.000823,0.287,0.821,141.418,5,3,9.27
The First Girl I Loved - 2010 Remaster,The Incredible String Band,The 5000 Spirits Or The Layers Of The Onion,2010-01-01,291240,4,0.566,0.353,A# / Bb,-11.868,Major,0.0333,0.55,0.0,0.227,0.356,117.623,23,4,51.24
The Minotaur's Song - 2010 Remaster,The Incredible String Band,The Hangman's Beautiful Daughter,2010-01-01,196986,4,0.558,0.535,G,-8.652,Major,0.0388,0.816,0.0,0.765,0.526,121.628,16,3,16.99
The Tijuana Jail - 1990 Digital Remaster,The Kingston Trio,The Capitol Collector's Series,1990-01-01,170906,4,0.451,0.263,G,-13.567,Major,0.0313,0.795,0.0,0.108,0.62,155.891,28,2,50.91
Tom Dooley,The Kingston Trio,The Kingston Trio,1958-01-01,183973,4,0.649,0.144,E,-13.986,Major,0.0418,0.806,4.55e-06,0.105,0.458,125.74,41,3,3.97
Courage,Vieux Farka Touré,Vieux Farka Touré,2013-01-01,261173,4,0.687,0.576,A,-6.621,Major,0.0356,0.409,0.0169,0.0544,0.817,89.007,6,4,21.17
Diabaté,Vieux Farka Touré,Vieux Farka Touré,2010-01-01,557906,4,0.708,0.133,B,-11.231,Minor,0.0612,0.945,0.876,0.226,0.462,117.848,8,9,17.91
Fafa,Vieux Farka Touré,Fondo,2012-01-01,303466,4,0.435,0.606,A# / Bb,-5.614,Major,0.0342,0.724,0.277,0.18,0.374,92.749,29,5,3.47
Mahine Me,Vieux Farka Touré,Ali,2006-01-01,160487,4,0.477,0.892,F# / Gb,-6.731,Minor,0.164,0.0511,0.708,0.143,0.86,142.078,45,2,40.49
Mali,Vieux Farka Touré,Fondo,2009-01-01,275173,3,0.478,0.816,F,-7.004,Major,0.0432,0.783,0.856,0.289,0.806,170.002,11,4,35.17
Savanne,Vieux Farka Touré,Ali,2009-01-01,316093,4,0.562,0.608,B,-11.106,Minor,0.0438,0.219,0.816,0.0581,0.526,147.405,52,5,16.09
Tongo Barra,Vieux Farka Touré,Ali,2008-01-01,333150,4,0.653,0.739,G# / Ab,-7.122,Minor,0.0337,0.231,0.109,0.137,0.865,112.848,52,5,33.15
7 Seconds (feat. Neneh Cherry),Youssou N'Dour,The Guide (Wommat),1994-01-01,306226,4,0.679,0.659,C# / Db,-10.826,Minor,0.0269,0.0771,4.12e-06,0.316,0.528,154.171,47,5,6.23
Africa Remembers,Youssou N'Dour,Eyes Open,2007-01-01,560466,4,0.696,0.378,F,-16.181,Minor,0.0797,0.444,0.0194,0.085,0.551,97.677,8,9,20.47
Birima,Youssou N'Dour,Joko: The Link,1995-01-01,228373,4,0.692,0.737,A# / Bb,-7.042,Major,0.0512,0.254,0.0174,0.112,0.808,105.754,18,3,48.37
Mame Bamba,Youssou N'Dour,The Guide (Wommat),1990-01-01,296893,4,0.662,0.577,A# / Bb,-14.089,Major,0.0556,0.377,0.00241,0.12,0.665,140.991,16,4,56.89
Salimata,Youssou N'Dour,History,1988-01-01,254133,5,0.634,0.818,C,-6.085,Major,0.0661,0.0328,0.012,0.158,0.686,119.598,20,4,14.13
Set,Youssou N'Dour,Set,2004-01-01,226826,4,0.733,0.73,C,-11.056,Major,0.0479,0.0424,0.000101,0.0282,0.84,146.213,25,3,46.83
Wiri-Wiri,Youssou N'Dour,Joko: The Link,2007-01-01,247466,4,0.654,0.516,F,-10.325,Major,0.0707,0.304,0.000235,0.11,0.259,83.013,5,4,7.47
